 ;4; ;4;4;4;S;4;4;4;4;4;4;4;4;S;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4; ; ; ; 
4; ;4;8;8;8;4;8;8;8;8;8;8;8;8;4;8;8;8;8;4;8;8;8;8;8;8;8;8;4;8;8;4;8;8;8;8;4;8;8;8;8;4; ; ;
 ;4;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;4;8;4;4;4;8;4;8;8;8;8;8;4;4;8;8;8;8;8;8;8;8;4;4; ;
4;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;4;8;4;8;4;8;4;4;4;8;8;4;8;8;8;4;8;8;8;8;8;4;4;
8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;4;8;8;8;4;8;4;4;8;4;8;8;8;4;8;8;8;8;8;8;4;
8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;4;4;4;8;4;8;8;8;8;4;8;8;8;4;8;8;8;8;8;8;4;
4;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;4;8;8;8;8;8;4;8;4;4;4;4;8;8;8;4;8;8;8;8;8;4;4;
 ;4;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;4;8;4;4;8;4;4;4;4;8;8;8;8;8;8;8;8;8;8;8;8;8;4;4; ; 
4; ;4;8;8;8;4;8;8;8;8;8;8;8;8;4;8;8;8;8;4;8;8;8;8;4;8;8;8;8;8;8;8;8;8;8;8;4;8;8;8;8;4; ; ; 
 ;4; ;4;4;4;S;4;4;4;4;4;4;4;4;S;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4; ; ; ;
